-1,32,85.75,5.5,19.25,18.25,24,14,28.5,42.5,19,7.75,6.25,15.5,24.5,87.75,0,-4,1,1,37,78,5.6667,16,20,27,11.333,29.667,41,22.333,9,7.3333,12.333,19,99.667,1,3,1
-1,38.75,85.25,8.5,26.5,20,28.25,9.5,27,36.5,21.75,7.25,5.5,15.25,23.75,106,0,-4,1,1,37.25,73.75,7,18.5,22.5,25.5,6.75,30.25,37,22.25,5,7.25,13,21,104,0.75,2,2
1,31.25,77,6.75,19.5,21,26,11.5,32,43.5,23.75,7,5.75,17.25,25,90.25,0.75,2,1,-1,31.667,89.333,4,19.667,24.333,33.333,18.333,32,50.333,13.667,6.3333,5.6667,17.667,24.333,91.667,0,-3,1
1,40.667,78,8.6667,22,16.667,23.333,8.3333,33.667,42,24.333,12.333,3.6667,17.333,24.333,106.67,1,3,1,1,34,77.25,4.75,14.75,22,28,12.75,33.25,46,18,9.25,6.5,17.25,21,94.75,0.5,1,1
-1,30.5,75.5,4.5,15.5,19,29,16.75,27.75,44.5,16.5,7.5,4,21,23.75,84.5,0.5,-2,-1,-1,37.5,86.75,7.5,20.25,21.5,27,11.5,35,46.5,21.75,8.75,7,15.75,28.25,104,0.75,-1,1
-1,35.75,76.5,5.75,16.5,20.75,27.75,10.25,29.5,39.75,21,8.25,6,13.5,20.25,98,0.75,-1,-1,1,38,84,7.75,17.75,25.25,32.25,13,36,49,23.5,8.5,4.75,15.25,22.25,109,1,4,-2
1,36.2,83.8,6.2,20.4,16.8,22.8,14.4,31.6,46,22,7.8,4.8,14,22.4,95.4,0.8,1,1,1,36.75,82,5.25,15.25,14.25,20,13.25,32.75,46,20.75,5.75,5.75,16.25,24.75,93,0.5,2,2
-1,41.75,82.75,5.25,15.25,20,27.75,9.75,34.25,44,24.5,9.5,4.75,16.25,22,108.75,0.5,-1,2,-1,38,85.333,7,17.333,12.667,18,11.667,29.333,41,21,6.6667,4,13,29.667,95.667,0,-3,1
-1,33.25,79.5,5,13.25,11.25,18.75,10.25,31.75,42,19,6.5,4.75,15,18.5,82.75,0,-4,-1,-1,39.8,87.2,9,26.6,15,20.4,9.4,31.2,40.6,24.2,9,4,13,17.8,103.6,0.6,-1,-2
-1,38.4,83.4,9.2,21.4,17.6,21.4,11.2,34.8,46,22.2,7.6,4.8,13.8,20.6,103.6,0.8,-1,-3,1,35.2,77.8,8,21.6,16.6,23.4,8.4,32,40.4,20.6,8,5.2,12.4,19.2,95,0.8,1,1
1,40.333,82.333,6.3333,14.333,20.333,30.333,13.333,28.667,42,20,5,3.3333,14.333,19,107.33,0.66667,2,2,1,33.8,75.2,10.4,25,22.8,31,9,33.6,42.6,19.6,4.4,4.4,12.2,20.2,100.8,0.8,3,-3
1,34.5,79.75,4,13.5,20.75,30.25,15.5,32.25,47.75,18.25,9.25,6,17.75,21.25,93.75,0.5,1,2,-1,35.8,83.2,9.2,20,16.8,20.2,8.8,28.6,37.4,21.2,8,3.8,11.6,21.2,97.6,0.4,-3,1
1,36.25,80.75,4.75,12.75,13.5,17,9.75,30,39.75,18,3.75,2.5,14.5,19.25,90.75,0.25,1,1,1,35,79.667,10,25,25.667,34.333,11,33,44,19.667,5,4.6667,19.667,21,105.67,0.33333,1,-1
1,33.75,76,3.25,11.5,23.25,28.25,9.5,24.75,34.25,16.5,8.5,3,15.25,21,94,0.25,1,1,-1,36.6,83.6,7.4,18.8,16.4,24.4,13,33.2,46.2,20,7.8,5.4,15.6,23,97,0.4,-1,-3
-1,39.4,88.4,5.6,15.2,15.4,20.2,12,35.2,47.2,22.6,9.2,4.8,20.4,25.2,99.8,0,-5,1,1,40.4,81.6,4.8,12.2,25.8,33.8,12.2,30.4,42.6,26.6,9,4.6,17.6,25.8,111.4,0.6,1,1
-1,31,85.25,4.25,19.25,23.75,31.5,15.75,31.25,47,14.25,7,5.5,17,24.5,90,0,-4,-1,-1,37.2,82.8,6.2,18.8,21.8,30.6,10.8,33.2,44,22.6,8.6,6.8,16.8,22,102.4,0.4,-3,-2
1,33.4,85.6,4.6,17,18.2,24.6,14.2,29.2,43.4,20.8,8,5.4,15.2,23.8,89.6,0.2,1,2,1,35.5,81.667,9.1667,19.667,18.667,23,9.5,29.167,38.667,21.833,7.8333,3.5,12.167,21,98.833,0.5,1,-1
-1,36.8,85.4,7.2,20.2,19.8,25.6,11.2,33.8,45,20.8,8.2,6.4,15.6,28.2,100.6,0.6,-2,-1,1,38.5,83.667,7.1667,19.833,20.833,28.667,11.167,32.667,43.833,24.167,9.6667,5.6667,17.167,22.5,105,0.5,1,-3
1,30.6,76,6.2,20,22.2,27,10.8,31.8,42.6,23.6,6.6,5.6,17.2,25.2,89.6,0.8,3,2,1,40.75,75.25,8,19,17,23.75,8.25,33,41.25,25.75,11.25,4.25,17.5,23.25,106.5,1,4,2
1,34.833,76.833,10.167,25.667,22.833,30.5,9,33.167,42.167,20.333,5.3333,4.5,12.667,20.667,102.67,0.83333,4,-4,1,39.667,87.5,10,27.667,14.667,19.5,9.6667,31.333,41,23.833,9.5,4.1667,12.833,17.667,104,0.66667,1,-3
1,37.4,81,5,12.8,14.8,18.4,9.4,31,40.4,18.4,4.6,3.8,14.2,20.4,94.6,0.4,2,2,1,38.2,75.8,7.6,19.6,23.2,26.4,7.4,32,39.4,22.8,4.2,6.8,12.8,22.6,107.2,0.8,3,-1
-1,32.6,74.8,3,11.6,25.2,29.6,9,26.6,35.6,14.6,8.2,3.2,15.4,20.6,93.4,0.2,-1,2,-1,37.75,87.75,7.25,18.25,12.25,17,13.25,28.5,41.75,20.5,7.5,4.25,13.5,29.75,95,0,-4,-1
1,40.667,82.333,4.1667,11.5,24.5,32.667,12.333,30.5,42.833,27.5,9.3333,5.1667,17.667,24.833,110,0.66667,2,-1,-1,35.5,82,9.25,24,23.5,31.75,12,32,44,17.5,4.75,4.25,17.75,22.5,103.75,0.25,-1,-2
-1,33.2,75.8,4.8,14,21.2,27.4,11.8,30.8,42.6,17.8,9.2,6.4,17.6,21.4,92.4,0.4,-1,-1,-1,31,84.4,4.8,19.4,23.6,31.4,15.4,31,46.4,15.2,7.4,5.8,18.4,23,90.4,0,-5,1
1,30.8,74.6,4.6,15.2,20.6,32,16.2,29.8,46,17,7.8,4,20,23.4,86.8,0.6,1,1,1,36.167,83.667,6.5,21.333,18,23.333,14.333,32.333,46.667,22.333,7.6667,5.5,13.5,21.833,96.833,0.83333,2,2
-1,35.6,82,6.8,16.8,25,31.4,11.8,34,45.8,21.2,7.2,4.4,14.6,21.6,103,0.8,-1,-3,1,36.333,85,7.3333,19.833,16.333,24,13.833,32.833,46.667,19,8,5,14.833,23.333,96.333,0.5,1,-4
-1,39,81.5,6.5,15.5,21.5,31,12,30.25,42.25,20.5,6.5,2.75,15.75,21.25,106,0.5,-1,3,-1,35.2,81.2,4.8,13.6,11.2,17.8,10.8,32.4,43.2,19.2,7,5.2,15,18,86.4,0,-5,1
-1,35.6,81.4,4.6,15,19.8,28.8,15,31.2,46.2,19,8.8,5.6,16.4,21.6,95.6,0.4,-1,3,-1,37.833,83,8.3333,20.333,16.5,20.667,10.833,33.667,44.5,21.5,7.6667,4.5,13,19.667,100.5,0.66667,-2,1
1,36,77.667,7.3333,20.5,16,22.5,8.1667,32.5,40.667,20.333,7.6667,5.3333,12,18.833,95.333,0.83333,2,-1,-1,35.8,82.4,5,15.8,15.4,20.8,12.8,32.4,45.2,19.8,5.8,5.2,15.2,24,92,0.4,-1,-1
